run,NrBeeSurvivors,FighterCollectorRatio,NrMurderContracts,BeeCap100Ratio,BeePerformance,flower_count,bee_count,bee_sight,buzzer_count,max_capacity,hive_count,comm_radius,RatioBeeBuzzer
391,0,1,1,0.779220779,0,10,4,14,12,30,1,16,0.333333333
393,0,1,0,0.779220779,0,10,4,14,14,30,1,1,0.285714286
395,0,1,0,0.779220779,0,10,4,14,14,30,1,7,0.285714286
397,0,1,1,0.779220779,0,10,4,14,14,30,1,13,0.285714286
399,0,1,1,0.779220779,0,10,4,14,14,30,1,19,0.285714286
401,0,1,0,0.779220779,0,10,4,14,16,30,1,4,0.25
403,0,1,2,0.779220779,0,10,4,14,16,30,1,10,0.25
405,0,1,1,0.779220779,0,10,4,14,16,30,1,16,0.25
407,0,1,0,0.779220779,0,10,4,14,18,30,1,1,0.222222222
409,0,1,0,0.779220779,0,10,4,14,18,30,1,7,0.222222222
411,0,1,0,0.779220779,0,10,4,14,18,30,1,13,0.222222222
413,0,1,0,0.779220779,0,10,4,14,18,30,1,19,0.222222222
415,1,1,1,0.779220779,19.48051948,10,4,14,20,30,1,4,0.2
417,0,1,0,0.779220779,0,10,4,14,20,30,1,10,0.2
419,0,1,0,0.779220779,0,10,4,14,20,30,1,16,0.2
421,3,1,1,0.779220779,58.44155844,10,4,16,2,30,1,1,2
423,1,1,1,0.779220779,19.48051948,10,4,16,2,30,1,7,2
425,1,1,1,0.779220779,19.48051948,10,4,16,2,30,1,13,2
427,2,1,0,0.779220779,38.96103896,10,4,16,2,30,1,19,2
429,1,1,1,0.779220779,19.48051948,10,4,16,4,30,1,4,1
431,0,1,1,0.779220779,0,10,4,16,4,30,1,10,1
433,3,1,0,0.779220779,58.44155844,10,4,16,4,30,1,16,1
435,0,1,0,0.779220779,0,10,4,16,6,30,1,1,0.666666667
437,1,1,1,0.779220779,19.48051948,10,4,16,6,30,1,7,0.666666667
439,0,1,2,0.779220779,0,10,4,16,6,30,1,13,0.666666667
441,1,1,2,0.779220779,19.48051948,10,4,16,6,30,1,19,0.666666667
443,0,1,1,0.779220779,0,10,4,16,8,30,1,4,0.5
445,0,1,2,0.779220779,0,10,4,16,8,30,1,10,0.5
447,0,1,2,0.779220779,0,10,4,16,8,30,1,16,0.5
449,0,1,0,0.779220779,0,10,4,16,10,30,1,1,0.4
451,0,1,1,0.779220779,0,10,4,16,10,30,1,7,0.4
453,0,1,1,0.779220779,0,10,4,16,10,30,1,13,0.4
455,0,1,3,0.779220779,0,10,4,16,10,30,1,19,0.4
457,0,1,0,0.779220779,0,10,4,16,12,30,1,4,0.333333333
459,0,1,0,0.779220779,0,10,4,16,12,30,1,10,0.333333333
461,0,1,0,0.779220779,0,10,4,16,12,30,1,16,0.333333333
463,0,1,0,0.779220779,0,10,4,16,14,30,1,1,0.285714286
465,0,1,0,0.779220779,0,10,4,16,14,30,1,7,0.285714286
467,0,1,0,0.779220779,0,10,4,16,14,30,1,13,0.285714286
469,0,1,2,0.779220779,0,10,4,16,14,30,1,19,0.285714286
471,0,1,0,0.779220779,0,10,4,16,16,30,1,4,0.25
473,0,1,0,0.779220779,0,10,4,16,16,30,1,10,0.25
475,0,1,1,0.779220779,0,10,4,16,16,30,1,16,0.25
477,0,1,0,0.779220779,0,10,4,16,18,30,1,1,0.222222222
479,0,1,0,0.779220779,0,10,4,16,18,30,1,7,0.222222222
481,0,1,0,0.779220779,0,10,4,16,18,30,1,13,0.222222222
483,0,1,1,0.779220779,0,10,4,16,18,30,1,19,0.222222222
485,0,1,0,0.779220779,0,10,4,16,20,30,1,4,0.2
487,0,1,0,0.779220779,0,10,4,16,20,30,1,10,0.2
489,0,1,1,0.779220779,0,10,4,16,20,30,1,16,0.2
491,4,1,1,0.779220779,77.92207792,10,4,18,2,30,1,1,2
493,3,1,2,0.779220779,58.44155844,10,4,18,2,30,1,7,2
495,3,1,2,0.779220779,58.44155844,10,4,18,2,30,1,13,2
497,2,1,1,0.779220779,38.96103896,10,4,18,2,30,1,19,2
499,4,1,4,0.779220779,77.92207792,10,4,18,4,30,1,4,1
501,2,1,2,0.779220779,38.96103896,10,4,18,4,30,1,10,1
503,1,1,4,0.779220779,19.48051948,10,4,18,4,30,1,16,1
505,0,1,0,0.779220779,0,10,4,18,6,30,1,1,0.666666667
507,0,1,1,0.779220779,0,10,4,18,6,30,1,7,0.666666667
509,0,1,2,0.779220779,0,10,4,18,6,30,1,13,0.666666667
511,0,1,3,0.779220779,0,10,4,18,6,30,1,19,0.666666667
513,0,1,2,0.779220779,0,10,4,18,8,30,1,4,0.5
515,0,1,1,0.779220779,0,10,4,18,8,30,1,10,0.5
517,0,1,2,0.779220779,0,10,4,18,8,30,1,16,0.5
519,0,1,0,0.779220779,0,10,4,18,10,30,1,1,0.4
521,0,1,1,0.779220779,0,10,4,18,10,30,1,7,0.4
523,0,1,3,0.779220779,0,10,4,18,10,30,1,13,0.4
525,0,1,5,0.779220779,0,10,4,18,10,30,1,19,0.4
527,0,1,0,0.779220779,0,10,4,18,12,30,1,4,0.333333333
529,0,1,0,0.779220779,0,10,4,18,12,30,1,10,0.333333333
531,0,1,0,0.779220779,0,10,4,18,12,30,1,16,0.333333333
533,0,1,0,0.779220779,0,10,4,18,14,30,1,1,0.285714286
535,0,1,0,0.779220779,0,10,4,18,14,30,1,7,0.285714286
537,0,1,1,0.779220779,0,10,4,18,14,30,1,13,0.285714286
539,0,1,2,0.779220779,0,10,4,18,14,30,1,19,0.285714286
541,0,1,0,0.779220779,0,10,4,18,16,30,1,4,0.25
543,0,1,0,0.779220779,0,10,4,18,16,30,1,10,0.25
545,0,1,0,0.779220779,0,10,4,18,16,30,1,16,0.25
547,0,1,0,0.779220779,0,10,4,18,18,30,1,1,0.222222222
549,0,1,0,0.779220779,0,10,4,18,18,30,1,7,0.222222222
551,0,1,0,0.779220779,0,10,4,18,18,30,1,13,0.222222222
553,0,1,1,0.779220779,0,10,4,18,18,30,1,19,0.222222222
555,0,1,0,0.779220779,0,10,4,18,20,30,1,4,0.2
557,0,1,0,0.779220779,0,10,4,18,20,30,1,10,0.2
559,0,1,1,0.779220779,0,10,4,18,20,30,1,16,0.2
561,1,1,0,0.779220779,19.48051948,10,4,20,2,30,1,1,2
563,4,1,0,0.779220779,77.92207792,10,4,20,2,30,1,7,2
565,2,1,2,0.779220779,38.96103896,10,4,20,2,30,1,13,2
567,3,1,0,0.779220779,58.44155844,10,4,20,2,30,1,19,2
569,0,1,2,0.779220779,0,10,4,20,4,30,1,4,1
571,0,1,2,0.779220779,0,10,4,20,4,30,1,10,1
573,2,1,2,0.779220779,38.96103896,10,4,20,4,30,1,16,1
575,1,1,2,0.779220779,19.48051948,10,4,20,6,30,1,1,0.666666667
577,0,1,2,0.779220779,0,10,4,20,6,30,1,7,0.666666667
579,0,1,1,0.779220779,0,10,4,20,6,30,1,13,0.666666667
581,0,1,2,0.779220779,0,10,4,20,6,30,1,19,0.666666667
583,0,1,6,0.779220779,0,10,4,20,8,30,1,4,0.5
585,0,1,2,0.779220779,0,10,4,20,8,30,1,10,0.5
587,0,1,1,0.779220779,0,10,4,20,8,30,1,16,0.5
589,0,1,0,0.779220779,0,10,4,20,10,30,1,1,0.4
591,0,1,2,0.779220779,0,10,4,20,10,30,1,7,0.4
593,0,1,1,0.779220779,0,10,4,20,10,30,1,13,0.4
595,0,1,1,0.779220779,0,10,4,20,10,30,1,19,0.4
597,0,1,0,0.779220779,0,10,4,20,12,30,1,4,0.333333333
599,0,1,0,0.779220779,0,10,4,20,12,30,1,10,0.333333333
601,0,1,1,0.779220779,0,10,4,20,12,30,1,16,0.333333333
603,0,1,0,0.779220779,0,10,4,20,14,30,1,1,0.285714286
